,id,_label,name,code,lineNumber,controlStructureType,ALPHA,node_label,node_content
170,1_189,CALL,qobject_input_get_keyval,"qobject_input_get_keyval(qiv, name, errp)",1_____5.0,,ADD,"CALL_5.0: qobject_input_get_keyval(qiv, name, errp)",funcCall qobject_input_get_keyval 
171,1_195,IDENTIFIER,str,str,1_____7.0,,ADD,IDENTIFIER_7.0: str,variable str 
172,1_199,CALL,<operator>.lessThan,"qemu_strtosz(str, NULL, obj) < 0",1_____11.0,,ADD,"CALL_11.0: qemu_strtosz(str, NULL, obj) < 0",lessThan 
173,1_201,IDENTIFIER,str,str,1_____11.0,,ADD,IDENTIFIER_11.0: str,variable str 
0,2_5,METHOD,<global>,<global>,2_____1.0,,REMAIN,METHOD_1.0: <global>,
1,2_7,METHOD,qobject_input_type_number_keyval,"void qobject_input_type_number_keyval (Visitor *v,const char *name,double *obj,Error **errp)",2_____1.0,,REMAIN,"METHOD_1.0: void qobject_input_type_number_keyval (Visitor *v,const char *name,double *obj,Error **errp)",methodDecl qobject_input_type_number_keyval 
2,2_8,METHOD_PARAMETER_IN,v,Visitor *v,2_____1.0,,REMAIN,METHOD_PARAMETER_IN_1.0: Visitor *v,variable v 
3,2_9,METHOD_PARAMETER_IN,name,const char *name,2_____1.0,,REMAIN,METHOD_PARAMETER_IN_1.0: const char *name,variable name 
4,2_10,METHOD_PARAMETER_IN,obj,double *obj,2_____2.0,,REMAIN,METHOD_PARAMETER_IN_2.0: double *obj,variable obj 
5,2_11,METHOD_PARAMETER_IN,errp,Error **errp,2_____2.0,,REMAIN,METHOD_PARAMETER_IN_2.0: Error **errp,variable errp 
7,2_13,LOCAL,qiv,QObjectInputVisitor* qiv,2_____4.0,,REMAIN,LOCAL_4.0: QObjectInputVisitor* qiv,variable qiv 
8,2_14,CALL,<operator>.assignment,*qiv = to_qiv(v),2_____4.0,,REMAIN,CALL_4.0: *qiv = to_qiv(v),assignment 
9,2_15,IDENTIFIER,qiv,qiv,2_____4.0,,REMAIN,IDENTIFIER_4.0: qiv,variable qiv 
10,2_16,CALL,to_qiv,to_qiv(v),2_____4.0,,REMAIN,CALL_4.0: to_qiv(v),funcCall to_qiv 
11,2_17,IDENTIFIER,v,v,2_____4.0,,REMAIN,IDENTIFIER_4.0: v,variable v 
12,2_28,LOCAL,endp,char* endp,2_____8.0,,REMAIN,LOCAL_8.0: char* endp,variable endp 
13,2_49,RETURN,,return;,2_____17.0,,REMAIN,RETURN_17.0: return;,return return  
14,2_54,CALL,<operator>.assignment,errno = 0,2_____21.0,,REMAIN,CALL_21.0: errno = 0,assignment 
15,2_55,IDENTIFIER,errno,errno,2_____21.0,,REMAIN,IDENTIFIER_21.0: errno,variable errno 
16,2_56,LITERAL,,0,2_____21.0,,REMAIN,LITERAL_21.0: 0,literal  
17,2_57,CALL,<operator>.assignment,"*obj = strtod(str, &endp)",2_____22.0,,REMAIN,"CALL_22.0: *obj = strtod(str, &endp)",assignment 
18,2_58,CALL,<operator>.indirection,*obj,2_____22.0,,REMAIN,CALL_22.0: *obj,indirection 
19,2_59,IDENTIFIER,obj,obj,2_____22.0,,REMAIN,IDENTIFIER_22.0: obj,variable obj 
20,2_60,CALL,strtod,"strtod(str, &endp)",2_____22.0,,REMAIN,"CALL_22.0: strtod(str, &endp)",funcCall strtod 
21,2_61,IDENTIFIER,str,str,2_____22.0,,REMAIN,IDENTIFIER_22.0: str,variable str 
22,2_62,CALL,<operator>.addressOf,&endp,2_____22.0,,REMAIN,CALL_22.0: &endp,addressOf 
23,2_63,IDENTIFIER,endp,endp,2_____22.0,,REMAIN,IDENTIFIER_22.0: endp,variable endp 
24,2_64,CONTROL_STRUCTURE,,if (errno || endp == str || *endp),2_____23.0,IF,REMAIN,CONTROL_STRUCTURE_23.0: if (errno || endp == str || *endp),ifStmt 
25,2_65,CALL,<operator>.logicalOr,errno || endp == str || *endp,2_____23.0,,REMAIN,CALL_23.0: errno || endp == str || *endp,logicalOr 
26,2_66,CALL,<operator>.logicalOr,errno || endp == str,2_____23.0,,REMAIN,CALL_23.0: errno || endp == str,logicalOr 
27,2_67,IDENTIFIER,errno,errno,2_____23.0,,REMAIN,IDENTIFIER_23.0: errno,variable errno 
28,2_68,CALL,<operator>.equals,endp == str,2_____23.0,,REMAIN,CALL_23.0: endp == str,equals 
29,2_69,IDENTIFIER,endp,endp,2_____23.0,,REMAIN,IDENTIFIER_23.0: endp,variable endp 
30,2_70,IDENTIFIER,str,str,2_____23.0,,REMAIN,IDENTIFIER_23.0: str,variable str 
31,2_71,CALL,<operator>.indirection,*endp,2_____23.0,,REMAIN,CALL_23.0: *endp,indirection 
32,2_72,IDENTIFIER,endp,endp,2_____23.0,,REMAIN,IDENTIFIER_23.0: endp,variable endp 
34,2_74,CALL,error_setg,"error_setg(errp, QERR_INVALID_PARAMETER_TYPE,
                   full_name(qiv, name), ""number"")",2_____25.0,,REMAIN,"CALL_25.0: error_setg(errp, QERR_INVALID_PARAMETER_TYPE,
                   full_name(qiv, name), ""number"")",funcCall error_setg 
35,2_75,IDENTIFIER,errp,errp,2_____25.0,,REMAIN,IDENTIFIER_25.0: errp,variable errp 
36,2_76,IDENTIFIER,QERR_INVALID_PARAMETER_TYPE,QERR_INVALID_PARAMETER_TYPE,2_____25.0,,REMAIN,IDENTIFIER_25.0: QERR_INVALID_PARAMETER_TYPE,variable QERR_INVALID_PARAMETER_TYPE 
37,2_77,CALL,full_name,"full_name(qiv, name)",2_____26.0,,REMAIN,"CALL_26.0: full_name(qiv, name)",funcCall full_name 
38,2_78,IDENTIFIER,qiv,qiv,2_____26.0,,REMAIN,IDENTIFIER_26.0: qiv,variable qiv 
39,2_79,IDENTIFIER,name,name,2_____26.0,,REMAIN,IDENTIFIER_26.0: name,variable name 
40,2_80,LITERAL,,"""number""",2_____26.0,,REMAIN,"LITERAL_26.0: ""number""",literal  
41,2_81,METHOD_RETURN,,void,2_____1.0,,REMAIN,METHOD_RETURN_1.0: void,return void 
42,2_175,METHOD_PARAMETER_OUT,v,Visitor *v,2_____1.0,,REMAIN,METHOD_PARAMETER_OUT_1.0: Visitor *v,variable v 
43,2_176,METHOD_PARAMETER_OUT,name,const char *name,2_____1.0,,REMAIN,METHOD_PARAMETER_OUT_1.0: const char *name,variable name 
44,2_177,METHOD_PARAMETER_OUT,obj,double *obj,2_____2.0,,REMAIN,METHOD_PARAMETER_OUT_2.0: double *obj,variable obj 
45,2_178,METHOD_PARAMETER_OUT,errp,Error **errp,2_____2.0,,REMAIN,METHOD_PARAMETER_OUT_2.0: Error **errp,variable errp 
48,2_4,TYPE_DECL,<global>,<global>,2_____1.0,,REMAIN,TYPE_DECL_1.0: <global>,type <global> 
50,2_19,CALL,<operator>.assignment,"*qobj = qobject_input_get_object(qiv, name, true, errp)",2_____5.0,,REMAIN,"CALL_5.0: *qobj = qobject_input_get_object(qiv, name, true, errp)",assignment 
51,2_22,IDENTIFIER,qiv,qiv,2_____5.0,,REMAIN,IDENTIFIER_5.0: qiv,variable qiv 
52,2_23,IDENTIFIER,name,name,2_____5.0,,REMAIN,IDENTIFIER_5.0: name,variable name 
53,2_25,IDENTIFIER,errp,errp,2_____5.0,,REMAIN,IDENTIFIER_5.0: errp,variable errp 
55,2_29,CONTROL_STRUCTURE,,if (!qobj),2_____10.0,IF,REMAIN,CONTROL_STRUCTURE_10.0: if (!qobj),ifStmt 
56,2_30,CALL,<operator>.logicalNot,!qobj,2_____10.0,,REMAIN,CALL_10.0: !qobj,logicalNot 
153,2_18,LOCAL,qobj,QObject* qobj,2_____5.0,,DELETE,LOCAL_5.0: QObject* qobj,variable qobj 
154,2_20,IDENTIFIER,qobj,qobj,2_____5.0,,DELETE,IDENTIFIER_5.0: qobj,variable qobj 
155,2_21,CALL,qobject_input_get_object,"qobject_input_get_object(qiv, name, true, errp)",2_____5.0,,DELETE,"CALL_5.0: qobject_input_get_object(qiv, name, true, errp)",funcCall qobject_input_get_object 
156,2_24,LITERAL,,true,2_____5.0,,DELETE,LITERAL_5.0: true,literal  
157,2_26,LOCAL,qstr,QString* qstr,2_____6.0,,DELETE,LOCAL_6.0: QString* qstr,variable qstr 
158,2_31,IDENTIFIER,qobj,qobj,2_____10.0,,DELETE,IDENTIFIER_10.0: qobj,variable qobj 
159,2_33,RETURN,,return;,2_____11.0,,DELETE,RETURN_11.0: return;,return return  
160,2_34,CALL,<operator>.assignment,qstr = qobject_to_qstring(qobj),2_____13.0,,DELETE,CALL_13.0: qstr = qobject_to_qstring(qobj),assignment 
161,2_35,IDENTIFIER,qstr,qstr,2_____13.0,,DELETE,IDENTIFIER_13.0: qstr,variable qstr 
162,2_36,CALL,qobject_to_qstring,qobject_to_qstring(qobj),2_____13.0,,DELETE,CALL_13.0: qobject_to_qstring(qobj),funcCall qobject_to_qstring 
163,2_37,IDENTIFIER,qobj,qobj,2_____13.0,,DELETE,IDENTIFIER_13.0: qobj,variable qobj 
164,2_38,CONTROL_STRUCTURE,,if (!qstr),2_____14.0,IF,DELETE,CONTROL_STRUCTURE_14.0: if (!qstr),ifStmt 
165,2_39,CALL,<operator>.logicalNot,!qstr,2_____14.0,,DELETE,CALL_14.0: !qstr,logicalNot 
166,2_40,IDENTIFIER,qstr,qstr,2_____14.0,,DELETE,IDENTIFIER_14.0: qstr,variable qstr 
168,2_42,CALL,error_setg,"error_setg(errp, QERR_INVALID_PARAMETER_TYPE,
                   full_name(qiv, name), ""string"")",2_____15.0,,DELETE,"CALL_15.0: error_setg(errp, QERR_INVALID_PARAMETER_TYPE,
                   full_name(qiv, name), ""string"")",funcCall error_setg 
169,2_43,IDENTIFIER,errp,errp,2_____15.0,,DELETE,IDENTIFIER_15.0: errp,variable errp 
170,2_44,IDENTIFIER,QERR_INVALID_PARAMETER_TYPE,QERR_INVALID_PARAMETER_TYPE,2_____15.0,,DELETE,IDENTIFIER_15.0: QERR_INVALID_PARAMETER_TYPE,variable QERR_INVALID_PARAMETER_TYPE 
171,2_45,CALL,full_name,"full_name(qiv, name)",2_____16.0,,DELETE,"CALL_16.0: full_name(qiv, name)",funcCall full_name 
172,2_46,IDENTIFIER,qiv,qiv,2_____16.0,,DELETE,IDENTIFIER_16.0: qiv,variable qiv 
173,2_47,IDENTIFIER,name,name,2_____16.0,,DELETE,IDENTIFIER_16.0: name,variable name 
174,2_48,LITERAL,,"""string""",2_____16.0,,DELETE,"LITERAL_16.0: ""string""",literal  
175,2_50,CALL,<operator>.assignment,str = qstring_get_str(qstr),2_____20.0,,DELETE,CALL_20.0: str = qstring_get_str(qstr),assignment 
176,2_51,IDENTIFIER,str,str,2_____20.0,,DELETE,IDENTIFIER_20.0: str,variable str 
177,2_52,CALL,qstring_get_str,qstring_get_str(qstr),2_____20.0,,DELETE,CALL_20.0: qstring_get_str(qstr),funcCall qstring_get_str 
178,2_53,IDENTIFIER,qstr,qstr,2_____20.0,,DELETE,IDENTIFIER_20.0: qstr,variable qstr 
198,2_218,IDENTIFIER,str,str,2_____5.0,,ADD,IDENTIFIER_5.0: str,variable str 
199,2_219,CALL,qobject_input_get_keyval,"qobject_input_get_keyval(qiv, name, errp)",2_____5.0,,ADD,"CALL_5.0: qobject_input_get_keyval(qiv, name, errp)",funcCall qobject_input_get_keyval 
200,2_226,IDENTIFIER,str,str,2_____8.0,,ADD,IDENTIFIER_8.0: str,variable str 
0,3_5,METHOD,<global>,<global>,3_____1.0,,REMAIN,METHOD_1.0: <global>,
1,3_7,METHOD,qobject_input_type_uint64_keyval,"void qobject_input_type_uint64_keyval (Visitor *v,const char *name,uint64_t *obj,Error **errp)",3_____1.0,,REMAIN,"METHOD_1.0: void qobject_input_type_uint64_keyval (Visitor *v,const char *name,uint64_t *obj,Error **errp)",methodDecl qobject_input_type_uint64_keyval 
2,3_8,METHOD_PARAMETER_IN,v,Visitor *v,3_____1.0,,REMAIN,METHOD_PARAMETER_IN_1.0: Visitor *v,variable v 
3,3_9,METHOD_PARAMETER_IN,name,const char *name,3_____1.0,,REMAIN,METHOD_PARAMETER_IN_1.0: const char *name,variable name 
4,3_10,METHOD_PARAMETER_IN,obj,uint64_t *obj,3_____2.0,,REMAIN,METHOD_PARAMETER_IN_2.0: uint64_t *obj,variable obj 
5,3_11,METHOD_PARAMETER_IN,errp,Error **errp,3_____2.0,,REMAIN,METHOD_PARAMETER_IN_2.0: Error **errp,variable errp 
7,3_13,LOCAL,qiv,QObjectInputVisitor* qiv,3_____4.0,,REMAIN,LOCAL_4.0: QObjectInputVisitor* qiv,variable qiv 
8,3_14,CALL,<operator>.assignment,*qiv = to_qiv(v),3_____4.0,,REMAIN,CALL_4.0: *qiv = to_qiv(v),assignment 
9,3_15,IDENTIFIER,qiv,qiv,3_____4.0,,REMAIN,IDENTIFIER_4.0: qiv,variable qiv 
10,3_16,CALL,to_qiv,to_qiv(v),3_____4.0,,REMAIN,CALL_4.0: to_qiv(v),funcCall to_qiv 
11,3_17,IDENTIFIER,v,v,3_____4.0,,REMAIN,IDENTIFIER_4.0: v,variable v 
12,3_47,RETURN,,return;,3_____15.0,,REMAIN,RETURN_15.0: return;,return return  
13,3_58,CALL,error_setg,"error_setg(errp, QERR_INVALID_PARAMETER_VALUE,
                   full_name(qiv, name), ""integer"")",3_____20.0,,REMAIN,"CALL_20.0: error_setg(errp, QERR_INVALID_PARAMETER_VALUE,
                   full_name(qiv, name), ""integer"")",funcCall error_setg 
14,3_59,IDENTIFIER,errp,errp,3_____20.0,,REMAIN,IDENTIFIER_20.0: errp,variable errp 
15,3_60,IDENTIFIER,QERR_INVALID_PARAMETER_VALUE,QERR_INVALID_PARAMETER_VALUE,3_____20.0,,REMAIN,IDENTIFIER_20.0: QERR_INVALID_PARAMETER_VALUE,variable QERR_INVALID_PARAMETER_VALUE 
16,3_61,CALL,full_name,"full_name(qiv, name)",3_____21.0,,REMAIN,"CALL_21.0: full_name(qiv, name)",funcCall full_name 
17,3_62,IDENTIFIER,qiv,qiv,3_____21.0,,REMAIN,IDENTIFIER_21.0: qiv,variable qiv 
18,3_63,IDENTIFIER,name,name,3_____21.0,,REMAIN,IDENTIFIER_21.0: name,variable name 
19,3_64,LITERAL,,"""integer""",3_____21.0,,REMAIN,"LITERAL_21.0: ""integer""",literal  
20,3_65,METHOD_RETURN,,void,3_____1.0,,REMAIN,METHOD_RETURN_1.0: void,return void 
21,3_150,METHOD_PARAMETER_OUT,v,Visitor *v,3_____1.0,,REMAIN,METHOD_PARAMETER_OUT_1.0: Visitor *v,variable v 
22,3_151,METHOD_PARAMETER_OUT,name,const char *name,3_____1.0,,REMAIN,METHOD_PARAMETER_OUT_1.0: const char *name,variable name 
23,3_152,METHOD_PARAMETER_OUT,obj,uint64_t *obj,3_____2.0,,REMAIN,METHOD_PARAMETER_OUT_2.0: uint64_t *obj,variable obj 
24,3_153,METHOD_PARAMETER_OUT,errp,Error **errp,3_____2.0,,REMAIN,METHOD_PARAMETER_OUT_2.0: Error **errp,variable errp 
27,3_4,TYPE_DECL,<global>,<global>,3_____1.0,,REMAIN,TYPE_DECL_1.0: <global>,type <global> 
29,3_19,CALL,<operator>.assignment,"*qobj = qobject_input_get_object(qiv, name, true, errp)",3_____5.0,,REMAIN,"CALL_5.0: *qobj = qobject_input_get_object(qiv, name, true, errp)",assignment 
30,3_22,IDENTIFIER,qiv,qiv,3_____5.0,,REMAIN,IDENTIFIER_5.0: qiv,variable qiv 
31,3_23,IDENTIFIER,name,name,3_____5.0,,REMAIN,IDENTIFIER_5.0: name,variable name 
32,3_25,IDENTIFIER,errp,errp,3_____5.0,,REMAIN,IDENTIFIER_5.0: errp,variable errp 
33,3_27,CONTROL_STRUCTURE,,if (!qobj),3_____8.0,IF,REMAIN,CONTROL_STRUCTURE_8.0: if (!qobj),ifStmt 
34,3_28,CALL,<operator>.logicalNot,!qobj,3_____8.0,,REMAIN,CALL_8.0: !qobj,logicalNot 
36,3_36,CONTROL_STRUCTURE,,if (!qstr),3_____12.0,IF,REMAIN,CONTROL_STRUCTURE_12.0: if (!qstr),ifStmt 
38,3_50,CALL,qemu_strtou64,"qemu_strtou64(qstring_get_str(qstr), NULL, 0, obj)",3_____18.0,,REMAIN,"CALL_18.0: qemu_strtou64(qstring_get_str(qstr), NULL, 0, obj)",funcCall qemu_strtou64 
39,3_53,IDENTIFIER,NULL,NULL,3_____18.0,,REMAIN,IDENTIFIER_18.0: NULL,variable NULL 
40,3_54,LITERAL,,0,3_____18.0,,REMAIN,LITERAL_18.0: 0,literal  
41,3_55,IDENTIFIER,obj,obj,3_____18.0,,REMAIN,IDENTIFIER_18.0: obj,variable obj 
42,3_56,LITERAL,,0,3_____18.0,,REMAIN,LITERAL_18.0: 0,literal  
125,3_18,LOCAL,qobj,QObject* qobj,3_____5.0,,DELETE,LOCAL_5.0: QObject* qobj,variable qobj 
126,3_20,IDENTIFIER,qobj,qobj,3_____5.0,,DELETE,IDENTIFIER_5.0: qobj,variable qobj 
127,3_21,CALL,qobject_input_get_object,"qobject_input_get_object(qiv, name, true, errp)",3_____5.0,,DELETE,"CALL_5.0: qobject_input_get_object(qiv, name, true, errp)",funcCall qobject_input_get_object 
128,3_24,LITERAL,,true,3_____5.0,,DELETE,LITERAL_5.0: true,literal  
129,3_26,LOCAL,qstr,QString* qstr,3_____6.0,,DELETE,LOCAL_6.0: QString* qstr,variable qstr 
130,3_29,IDENTIFIER,qobj,qobj,3_____8.0,,DELETE,IDENTIFIER_8.0: qobj,variable qobj 
131,3_31,RETURN,,return;,3_____9.0,,DELETE,RETURN_9.0: return;,return return  
132,3_32,CALL,<operator>.assignment,qstr = qobject_to_qstring(qobj),3_____11.0,,DELETE,CALL_11.0: qstr = qobject_to_qstring(qobj),assignment 
133,3_33,IDENTIFIER,qstr,qstr,3_____11.0,,DELETE,IDENTIFIER_11.0: qstr,variable qstr 
134,3_34,CALL,qobject_to_qstring,qobject_to_qstring(qobj),3_____11.0,,DELETE,CALL_11.0: qobject_to_qstring(qobj),funcCall qobject_to_qstring 
135,3_35,IDENTIFIER,qobj,qobj,3_____11.0,,DELETE,IDENTIFIER_11.0: qobj,variable qobj 
136,3_37,CALL,<operator>.logicalNot,!qstr,3_____12.0,,DELETE,CALL_12.0: !qstr,logicalNot 
137,3_38,IDENTIFIER,qstr,qstr,3_____12.0,,DELETE,IDENTIFIER_12.0: qstr,variable qstr 
138,3_40,CALL,error_setg,"error_setg(errp, QERR_INVALID_PARAMETER_TYPE,
                   full_name(qiv, name), ""string"")",3_____13.0,,DELETE,"CALL_13.0: error_setg(errp, QERR_INVALID_PARAMETER_TYPE,
                   full_name(qiv, name), ""string"")",funcCall error_setg 
139,3_41,IDENTIFIER,errp,errp,3_____13.0,,DELETE,IDENTIFIER_13.0: errp,variable errp 
